Date,Price
2021-01-04 00:00:00+00:00,33.69
2021-01-05 00:00:00+00:00,32.96
2021-01-06 00:00:00+00:00,33.63
2021-01-07 00:00:00+00:00,34.76
2021-01-08 00:00:00+00:00,34.92
2021-01-11 00:00:00+00:00,34.53
2021-01-12 00:00:00+00:00,34.66
2021-01-13 00:00:00+00:00,33.65
2021-01-14 00:00:00+00:00,33.53
2021-01-15 00:00:00+00:00,31.74
2021-01-18 00:00:00+00:00,31.62
2021-01-19 00:00:00+00:00,33.09
2021-01-20 00:00:00+00:00,32.91
2021-01-21 00:00:00+00:00,34.11
2021-01-22 00:00:00+00:00,34.24
2021-01-25 00:00:00+00:00,33.16
2021-01-26 00:00:00+00:00,33.35
2021-01-27 00:00:00+00:00,33.28
2021-01-28 00:00:00+00:00,33.95
2021-01-29 00:00:00+00:00,32.95
2021-02-01 00:00:00+00:00,32.85
2021-02-02 00:00:00+00:00,34.97
2021-02-03 00:00:00+00:00,37.43
2021-02-04 00:00:00+00:00,37.27
2021-02-05 00:00:00+00:00,38.2
2021-02-08 00:00:00+00:00,38.61
2021-02-09 00:00:00+00:00,38.26
2021-02-10 00:00:00+00:00,39.33
2021-02-11 00:00:00+00:00,38.76
2021-02-12 00:00:00+00:00,40.02
2021-02-15 00:00:00+00:00,39.52
2021-02-16 00:00:00+00:00,38.86
2021-02-17 00:00:00+00:00,38.09
2021-02-18 00:00:00+00:00,38.32
2021-02-19 00:00:00+00:00,37.4
2021-02-22 00:00:00+00:00,37.96
2021-02-23 00:00:00+00:00,38.67
2021-02-24 00:00:00+00:00,39.15
2021-02-25 00:00:00+00:00,38.26
2021-02-26 00:00:00+00:00,37.28
2021-03-01 00:00:00+00:00,37.13
2021-03-02 00:00:00+00:00,38.35
2021-03-03 00:00:00+00:00,37.47
2021-03-04 00:00:00+00:00,38.16
2021-03-05 00:00:00+00:00,39.02
2021-03-08 00:00:00+00:00,39.13
2021-03-09 00:00:00+00:00,40.65
2021-03-10 00:00:00+00:00,41.54
2021-03-11 00:00:00+00:00,41.93
2021-03-12 00:00:00+00:00,42.85
2021-03-15 00:00:00+00:00,42.39
2021-03-16 00:00:00+00:00,41.6
2021-03-17 00:00:00+00:00,42.99
2021-03-18 00:00:00+00:00,42.4
2021-03-19 00:00:00+00:00,41.97
2021-03-22 00:00:00+00:00,42.84
2021-03-23 00:00:00+00:00,41.43
2021-03-24 00:00:00+00:00,41.6
2021-03-25 00:00:00+00:00,40.35
2021-03-26 00:00:00+00:00,41.73
2021-03-29 00:00:00+00:00,41.85
2021-03-30 00:00:00+00:00,42.05
2021-03-31 00:00:00+00:00,42.55
2021-04-01 00:00:00+00:00,42.47
2021-04-05 00:00:00+00:00,42.47
2021-04-06 00:00:00+00:00,44.24
2021-04-07 00:00:00+00:00,43.86
2021-04-08 00:00:00+00:00,43.48
2021-04-09 00:00:00+00:00,43.64
2021-04-12 00:00:00+00:00,44.48
2021-04-13 00:00:00+00:00,43.85
2021-04-14 00:00:00+00:00,43.82
2021-04-15 00:00:00+00:00,44.16
2021-04-16 00:00:00+00:00,44.42
2021-04-19 00:00:00+00:00,44.35
2021-04-20 00:00:00+00:00,44.89
2021-04-21 00:00:00+00:00,45.91
2021-04-22 00:00:00+00:00,47.09
2021-04-23 00:00:00+00:00,46.95
2021-04-26 00:00:00+00:00,47.2
2021-04-27 00:00:00+00:00,47.3
2021-04-28 00:00:00+00:00,47.79
2021-04-29 00:00:00+00:00,48.02
2021-04-30 00:00:00+00:00,48.84
2021-05-03 00:00:00+00:00,49.42
2021-05-04 00:00:00+00:00,48.61
2021-05-05 00:00:00+00:00,49.45
2021-05-06 00:00:00+00:00,49.94
2021-05-07 00:00:00+00:00,50.45
2021-05-10 00:00:00+00:00,52.22
2021-05-11 00:00:00+00:00,53.04
2021-05-12 00:00:00+00:00,55.32
2021-05-13 00:00:00+00:00,54.49
2021-05-14 00:00:00+00:00,56.65
2021-05-17 00:00:00+00:00,56.34
2021-05-18 00:00:00+00:00,53.07
2021-05-19 00:00:00+00:00,49.68
2021-05-20 00:00:00+00:00,52.7
2021-05-21 00:00:00+00:00,51.75
2021-05-24 00:00:00+00:00,52.77
2021-05-25 00:00:00+00:00,53.32
2021-05-26 00:00:00+00:00,53.67
2021-05-27 00:00:00+00:00,51.84
2021-05-28 00:00:00+00:00,51.03
2021-05-31 00:00:00+00:00,51.7
2021-06-01 00:00:00+00:00,52.41
2021-06-02 00:00:00+00:00,51.4
2021-06-03 00:00:00+00:00,50.24
2021-06-04 00:00:00+00:00,49.97
2021-06-07 00:00:00+00:00,51.47
2021-06-08 00:00:00+00:00,52.17
2021-06-09 00:00:00+00:00,53.51
2021-06-10 00:00:00+00:00,53.78
2021-06-11 00:00:00+00:00,52.67
2021-06-14 00:00:00+00:00,52.9
2021-06-15 00:00:00+00:00,51.4
2021-06-16 00:00:00+00:00,51.34
2021-06-17 00:00:00+00:00,50.91
2021-06-18 00:00:00+00:00,51.9
2021-06-21 00:00:00+00:00,52.42
2021-06-22 00:00:00+00:00,53.41
2021-06-23 00:00:00+00:00,54.67
2021-06-24 00:00:00+00:00,55.09
2021-06-25 00:00:00+00:00,55.05
2021-06-28 00:00:00+00:00,55.5
2021-06-29 00:00:00+00:00,55.64
2021-06-30 00:00:00+00:00,56.37
2021-07-01 00:00:00+00:00,57.65
2021-07-02 00:00:00+00:00,57.35
2021-07-05 00:00:00+00:00,57.87
2021-07-06 00:00:00+00:00,54.02
2021-07-07 00:00:00+00:00,52.62
2021-07-08 00:00:00+00:00,52.35
2021-07-09 00:00:00+00:00,54.26
2021-07-12 00:00:00+00:00,51.71
2021-07-13 00:00:00+00:00,52.85
2021-07-14 00:00:00+00:00,53.37
2021-07-15 00:00:00+00:00,52.97
2021-07-16 00:00:00+00:00,52.89
2021-07-19 00:00:00+00:00,52.41
2021-07-20 00:00:00+00:00,51.21
2021-07-21 00:00:00+00:00,52.14
2021-07-22 00:00:00+00:00,50.79
2021-07-23 00:00:00+00:00,50.89
2021-07-26 00:00:00+00:00,53.2
2021-07-27 00:00:00+00:00,52.91
2021-07-28 00:00:00+00:00,53.84
2021-07-29 00:00:00+00:00,54.05
2021-07-30 00:00:00+00:00,53.33
2021-08-02 00:00:00+00:00,54.43
2021-08-03 00:00:00+00:00,54.19
2021-08-04 00:00:00+00:00,55.46
2021-08-05 00:00:00+00:00,55.98
2021-08-06 00:00:00+00:00,56.66
2021-08-09 00:00:00+00:00,56.62
2021-08-10 00:00:00+00:00,57.41
2021-08-11 00:00:00+00:00,57.78
2021-08-12 00:00:00+00:00,56.26
2021-08-13 00:00:00+00:00,55.38
2021-08-16 00:00:00+00:00,58.16
2021-08-17 00:00:00+00:00,57.23
2021-08-18 00:00:00+00:00,57.13
2021-08-19 00:00:00+00:00,53.5
2021-08-20 00:00:00+00:00,54.38
2021-08-23 00:00:00+00:00,55.34
2021-08-24 00:00:00+00:00,56.64
2021-08-25 00:00:00+00:00,56.54
2021-08-26 00:00:00+00:00,56.86
2021-08-27 00:00:00+00:00,59
2021-08-30 00:00:00+00:00,60.76
2021-08-31 00:00:00+00:00,60.76
2021-09-01 00:00:00+00:00,60.12
2021-09-02 00:00:00+00:00,61.52
2021-09-03 00:00:00+00:00,61.32
2021-09-06 00:00:00+00:00,62.31
2021-09-07 00:00:00+00:00,61.99
2021-09-08 00:00:00+00:00,62.45
2021-09-09 00:00:00+00:00,62.75
2021-09-10 00:00:00+00:00,60.92
2021-09-13 00:00:00+00:00,61.07
2021-09-14 00:00:00+00:00,59.85
2021-09-15 00:00:00+00:00,59.86
2021-09-16 00:00:00+00:00,59.31
2021-09-17 00:00:00+00:00,59.48
2021-09-20 00:00:00+00:00,60.68
2021-09-21 00:00:00+00:00,60.16
2021-09-22 00:00:00+00:00,60.6
2021-09-23 00:00:00+00:00,60.54
2021-09-24 00:00:00+00:00,62.94
2021-09-27 00:00:00+00:00,64.37
2021-09-28 00:00:00+00:00,61.92
2021-09-29 00:00:00+00:00,62.88
2021-09-30 00:00:00+00:00,61.74
2021-10-01 00:00:00+00:00,62.04
2021-10-04 00:00:00+00:00,63.4
2021-10-05 00:00:00+00:00,64.72
2021-10-06 00:00:00+00:00,59.12
2021-10-07 00:00:00+00:00,60.37
2021-10-08 00:00:00+00:00,58.33
2021-10-11 00:00:00+00:00,59.15
